# ---------- 01 Per-Channel Summary ----------
chA: 0 chB: 2 | avgC: 2.35402 avgA: 19.4138 avgB: 57.2529 MNR: 0.161219 GNR: 0.0950219 DICE: 0.083296
chA: 0 chB: 3 | avgC: 3.03211 avgA: 19.3739 avgB: 68.8578 MNR: 0.115588 GNR: 0.0606043 DICE: 0.0500841
chA: 0 chB: 4 | avgC: 3.07798 avgA: 19.3739 avgB: 29.7408 MNR: 0.14105 GNR: 0.107618 DICE: 0.102826
chA: 1 chB: 2 | avgC: 4.98198 avgA: 33.9212 avgB: 56.268 MNR: 0.164353 GNR: 0.115068 DICE: 0.10731
chA: 1 chB: 3 | avgC: 6.61124 avgA: 33.8562 avgB: 67.6899 MNR: 0.17443 GNR: 0.115688 DICE: 0.105986
chA: 1 chB: 4 | avgC: 3.05618 avgA: 33.8562 avgB: 29.3303 MNR: 0.101585 GNR: 0.0812165 DICE: 0.0785331
chA: 2 chB: 3 | avgC: 19.8559 avgA: 56.268 avgB: 67.8086 MNR: 0.349783 GNR: 0.213637 DICE: 0.189356
chA: 2 chB: 4 | avgC: 5.81081 avgA: 56.268 avgB: 29.3874 MNR: 0.178583 GNR: 0.106583 DICE: 0.0931534
chA: 3 chB: 4 | avgC: 6.42921 avgA: 67.6899 avgB: 29.3303 MNR: 0.150566 GNR: 0.100708 DICE: 0.092431

# ---------- 17 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.8042 avgA: 19.3916 avgB: 40.2634 MNR: 0.220376 GNR: 0.145177 DICE: 0.132733
chA: 0 chB: 2 | avgC: 1.23364 avgA: 19.4159 avgB: 57.3037 MNR: 0.0607693 GNR: 0.0349485 DICE: 0.0304363
chA: 0 chB: 3 | avgC: 4.74592 avgA: 19.3916 avgB: 75.7343 MNR: 0.207746 GNR: 0.0980103 DICE: 0.0763652
chA: 0 chB: 4 | avgC: 2.96503 avgA: 19.3893 avgB: 26.8718 MNR: 0.159593 GNR: 0.119533 DICE: 0.113811
chA: 1 chB: 2 | avgC: 5.03837 avgA: 39.2822 avgB: 55.7178 MNR: 0.130976 GNR: 0.0868252 DICE: 0.0793747
chA: 1 chB: 3 | avgC: 7.0518 avgA: 39.2635 avgB: 73.545 MNR: 0.149205 GNR: 0.0964997 DICE: 0.0875433
chA: 1 chB: 4 | avgC: 3.07658 avgA: 39.2523 avgB: 26.1239 MNR: 0.0927502 GNR: 0.0709988 DICE: 0.0676897
chA: 2 chB: 3 | avgC: 19.9842 avgA: 55.8281 avgB: 73.7715 MNR: 0.318176 GNR: 0.191009 DICE: 0.168158
chA: 2 chB: 4 | avgC: 4.99548 avgA: 55.819 avgB: 26.2104 MNR: 0.146504 GNR: 0.0862623 DICE: 0.0750147
chA: 3 chB: 4 | avgC: 6.55756 avgA: 73.6749 avgB: 26.167 MNR: 0.160774 GNR: 0.0964267 DICE: 0.0848112

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.5034 avgA: 39.7075 avgB: 91.9048 MNR: 0.580645 GNR: 0.370466 DICE: 0.33535
chA: 0 chB: 2 | avgC: 14.2993 avgA: 39.7075 avgB: 205.286 MNR: 0.336884 GNR: 0.153781 DICE: 0.117572
chA: 0 chB: 3 | avgC: 17.3537 avgA: 39.7075 avgB: 157.71 MNR: 0.435328 GNR: 0.217057 DICE: 0.174322
chA: 0 chB: 4 | avgC: 11.8163 avgA: 39.7075 avgB: 77.9093 MNR: 0.289796 GNR: 0.201324 DICE: 0.187653
chA: 1 chB: 2 | avgC: 32.3281 avgA: 91.2067 avgB: 203.604 MNR: 0.338096 GNR: 0.231301 DICE: 0.214323
chA: 1 chB: 3 | avgC: 36.8629 avgA: 91.2067 avgB: 156.404 MNR: 0.385891 GNR: 0.297702 DICE: 0.286751
chA: 1 chB: 4 | avgC: 18.3191 avgA: 91.2067 avgB: 77.2831 MNR: 0.225783 GNR: 0.204438 DICE: 0.20291
chA: 2 chB: 3 | avgC: 101.231 avgA: 203.602 avgB: 156.4 MNR: 0.633092 GNR: 0.559184 DICE: 0.553805
chA: 2 chB: 4 | avgC: 31.8742 avgA: 203.602 avgB: 77.2831 MNR: 0.397663 GNR: 0.246998 DICE: 0.221011
chA: 3 chB: 4 | avgC: 34.4831 avgA: 156.4 avgB: 77.2831 MNR: 0.425551 GNR: 0.300062 DICE: 0.281826

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 23.0903 avgA: 40.1151 avgB: 95.0519 MNR: 0.56563 GNR: 0.357284 DICE: 0.322063
chA: 0 chB: 2 | avgC: 14.4492 avgA: 40.1151 avgB: 209.679 MNR: 0.349211 GNR: 0.156916 DICE: 0.118882
chA: 0 chB: 3 | avgC: 16.4628 avgA: 40.1151 avgB: 164.526 MNR: 0.39914 GNR: 0.198142 DICE: 0.158686
chA: 0 chB: 4 | avgC: 11.6027 avgA: 40.1151 avgB: 83.0045 MNR: 0.279258 GNR: 0.189136 DICE: 0.174808
chA: 1 chB: 2 | avgC: 34.6126 avgA: 94.8761 avgB: 209.268 MNR: 0.35026 GNR: 0.241114 DICE: 0.224066
chA: 1 chB: 3 | avgC: 38.1348 avgA: 94.6764 avgB: 163.831 MNR: 0.382688 GNR: 0.295926 DICE: 0.284849
